Season,HomeTeam,AwayTeam,Result,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA
2023,Arsenal,Newcastle,D,0,0,1,0,0,1,0,17,8,4,1,10,16,5,5,4,4,0,0,1.8,3.8,4.33,1.8,3.6,4.4,1.83,3.75,4.2
2023,Arsenal,Man United,W,3,2,2,1,1,1,3,25,6,5,4,8,9,12,4,1,2,0,0,1.8,3.8,4.2,1.87,3.7,4.0,1.85,3.8,4.0
2023,Arsenal,Brentford,D,1,1,1,0,0,1,28,23,9,7,2,9,9,7,4,0,2,0,0,1.44,4.75,7.0,1.43,4.5,7.5,1.45,4.6,7.0
2023,Arsenal,Man City,L,1,3,0,1,1,1,3,10,9,1,6,11,15,1,3,2,3,0,0,2.9,3.5,2.35,2.85,3.4,2.4,2.9,3.3,2.45
2023,Arsenal,Everton,W,4,0,2,2,0,2,24,15,8,5,5,5,12,5,1,0,2,0,0,1.36,4.75,10.0,1.34,5.0,9.25,1.35,5.0,8.75
2023,Arsenal,Bournemouth,W,3,2,2,0,1,0,5,31,4,9,4,6,8,17,1,0,2,0,0,1.22,7.0,12.0,1.21,6.5,14.0,1.22,6.75,14.0
2023,Arsenal,Crystal Palace,W,4,1,2,2,0,2,34,15,8,5,4,8,10,5,4,0,1,0,0,1.25,5.5,15.0,1.26,5.75,12.0,1.25,5.75,12.0
2023,Arsenal,Leeds,W,4,1,2,1,0,2,9,13,7,6,5,11,13,4,3,0,2,0,0,1.29,6.0,9.0,1.29,5.75,10.0,1.3,5.75,10.0
2023,Arsenal,Southampton,D,3,3,1,1,2,0,35,25,8,6,6,10,14,7,2,1,5,0,0,1.2,7.0,13.0,1.2,7.0,14.0,1.22,6.75,13.0
2023,Arsenal,Chelsea,W,3,1,2,3,0,2,32,16,7,10,4,10,10,7,2,0,2,0,0,1.6,4.0,5.5,1.6,4.1,5.5,1.6,4.2,5.5
2023,Arsenal,Brighton,L,0,3,0,0,0,1,0,14,12,2,6,13,17,5,2,1,2,0,0,1.73,4.2,4.2,1.77,4.0,4.1,1.75,4.0,4.3
2023,Arsenal,Wolves,W,5,0,2,3,0,2,1,14,6,8,0,8,11,8,4,0,0,0,0,1.36,5.25,8.0,1.37,5.25,7.75,1.43,4.6,7.75
2022,Arsenal,Man City,L,1,2,0,1,0,2,34,7,15,2,2,13,5,5,5,3,2,1,0,5.75,4.75,1.5,6.0,4.6,1.49,5.75,4.8,1.5
2022,Arsenal,Burnley,D,0,0,1,0,0,1,8,20,10,5,1,9,13,12,4,0,2,0,0,1.36,4.75,9.0,1.37,4.75,9.0,1.37,5.0,8.25
2022,Arsenal,Brentford,W,2,1,2,0,0,1,14,24,6,8,2,10,5,14,0,1,1,0,0,1.44,4.2,8.0,1.46,4.5,7.0,1.47,4.4,7.25
2022,Arsenal,Wolves,W,2,1,2,0,1,0,20,26,6,5,2,8,9,5,4,1,1,0,0,1.65,3.8,5.5,1.62,3.75,5.75,1.65,3.75,5.75
2022,Arsenal,Leicester,W,2,0,2,1,0,2,3,21,6,8,3,8,10,2,6,0,3,0,0,1.5,4.5,6.0,1.49,4.6,6.0,1.53,4.5,5.75
2022,Arsenal,Liverpool,L,0,2,0,0,0,1,1,9,9,2,3,9,9,1,6,0,1,0,0,3.5,4.0,1.9,3.4,4.0,1.93,3.75,3.85,1.9
2022,Arsenal,Brighton,L,1,2,0,0,1,0,8,20,8,4,3,12,19,11,2,3,4,0,0,1.61,3.8,5.75,1.6,4.0,5.5,1.6,3.9,6.0
2022,Arsenal,Man United,W,3,1,2,2,1,2,6,14,14,7,5,9,12,1,7,3,4,0,0,2.05,3.5,3.5,2.05,3.6,3.4,2.1,3.5,3.4
2022,Arsenal,Leeds,W,2,1,2,2,0,2,5,19,3,9,2,13,15,8,2,2,2,0,1,1.45,4.5,7.0,1.42,5.0,6.75,1.45,4.7,6.75
2022,Arsenal,Everton,W,5,1,2,2,1,2,1,26,6,9,2,8,9,12,2,0,1,0,0,1.36,4.75,9.0,1.38,5.0,7.75,1.37,4.9,8.5
2022,Arsenal,Leicester,W,4,2,2,2,0,2,9,19,6,7,2,15,9,6,2,1,1,0,0,1.53,4.33,5.75,1.52,4.4,6.0,1.53,4.4,5.75
2022,Arsenal,Fulham,W,2,1,2,0,0,1,13,22,11,8,3,6,12,9,2,2,3,0,0,1.3,5.75,9.0,1.3,5.75,9.25,1.35,5.25,8.25
2022,Arsenal,Aston Villa,W,2,1,2,1,0,2,32,22,4,9,3,10,14,10,3,2,3,0,0,1.45,4.5,6.0,1.46,4.5,7.0,1.47,4.6,6.75
2022,Arsenal,Tottenham,W,3,1,2,1,1,1,3,22,7,9,3,10,10,5,2,2,1,0,1,2.05,3.75,3.3,2.05,3.7,3.4,2.1,3.7,3.3
2022,Arsenal,Liverpool,W,3,2,2,2,1,2,24,11,8,7,3,11,11,4,3,1,2,0,0,2.5,3.6,2.62,2.5,3.7,2.55,2.5,3.65,2.6
2022,Arsenal,Nott'm Forest,W,5,0,2,1,0,2,35,24,5,10,2,9,8,9,4,0,1,0,0,1.2,7.0,12.0,1.2,6.75,14.5,1.2,6.75,13.0
2022,Arsenal,West Ham,W,3,1,2,0,1,0,24,16,8,5,4,13,17,7,5,0,2,0,0,1.5,4.33,6.5,1.5,4.33,6.25,1.53,4.4,6.0
2021,Arsenal,Crystal Palace,D,0,0,1,0,0,1,1,11,12,4,2,10,11,7,3,1,1,0,0,1.53,4.0,6.5,1.55,4.0,6.5,1.55,4.1,6.0
2021,Arsenal,Newcastle,W,3,0,2,0,0,1,8,20,4,6,1,9,8,7,2,0,0,0,0,1.4,4.5,8.0,1.45,4.6,7.0,1.45,4.55,7.0
2021,Arsenal,Man United,D,0,0,1,0,0,1,24,17,14,3,3,9,16,4,7,1,3,0,0,2.8,3.5,2.45,2.9,3.25,2.5,2.85,3.4,2.5
2021,Arsenal,Leeds,W,4,2,2,3,0,2,34,13,9,5,5,8,17,4,5,0,2,0,0,1.83,3.8,4.0,1.85,3.8,4.0,1.9,3.8,3.85
2021,Arsenal,Man City,L,0,1,0,0,1,0,14,7,15,1,3,11,9,1,3,2,2,0,0,6.5,4.33,1.5,6.25,4.1,1.55,6.0,4.3,1.53
2021,Arsenal,Tottenham,W,2,1,2,1,1,1,24,13,6,3,3,12,14,6,3,1,2,0,1,2.55,3.4,2.75,2.55,3.4,2.75,2.55,3.3,2.8
2021,Arsenal,Liverpool,L,0,3,0,0,0,1,34,3,16,2,7,10,10,1,2,1,1,0,0,3.1,3.7,2.15,3.1,3.6,2.2,3.1,3.5,2.25
2021,Arsenal,Fulham,D,1,1,1,0,0,1,6,18,3,5,1,9,11,11,1,0,3,0,0,1.7,3.8,4.8,1.72,3.7,5.0,1.75,3.65,4.8
2021,Arsenal,Everton,L,0,1,0,0,0,1,14,14,8,3,1,13,10,7,3,1,3,0,0,2.0,3.5,3.75,2.05,3.5,3.6,2.0,3.45,3.85
2021,Arsenal,West Brom,W,3,1,2,2,0,2,28,15,12,7,1,7,9,6,6,1,2,0,0,1.44,4.5,7.0,1.45,4.6,7.0,1.47,4.5,6.5
2021,Arsenal,Brighton,W,2,0,2,0,0,1,14,16,5,5,1,10,8,11,3,0,0,0,0,1.57,4.33,5.25,1.62,4.1,5.25,1.6,4.3,5.25
2021,Arsenal,Chelsea,L,0,2,0,0,2,0,30,6,22,3,5,10,4,9,8,3,0,0,0,4.75,3.75,1.72,4.75,3.75,1.75,4.8,3.75,1.73
2021,Arsenal,Norwich,W,1,0,2,0,0,1,24,30,10,7,1,9,11,8,4,1,2,0,0,1.5,4.6,6.0,1.5,4.5,6.25,1.53,4.4,6.0
2021,Arsenal,Tottenham,W,3,1,2,3,0,2,6,12,10,7,4,12,13,4,4,2,1,0,0,2.15,3.3,3.5,2.3,3.25,3.2,2.25,3.25,3.35
2021,Arsenal,Crystal Palace,D,2,2,1,1,0,2,22,17,9,6,6,7,4,6,4,1,1,0,0,1.6,3.8,6.0,1.62,3.9,5.75,1.65,3.85,5.5
2021,Arsenal,Aston Villa,W,3,1,2,2,0,2,6,22,10,9,4,17,10,7,4,2,5,0,0,1.83,3.75,4.2,1.9,3.5,4.0,1.9,3.65,4.1
2021,Arsenal,Watford,W,1,0,2,0,0,1,16,14,7,6,1,6,19,4,2,4,2,0,1,1.36,4.75,8.5,1.4,4.75,8.0,1.4,5.25,7.5
2021,Arsenal,Newcastle,W,2,0,2,0,0,1,34,24,9,6,5,6,12,4,4,1,3,0,0,1.44,4.75,7.0,1.46,5.0,6.0,1.45,4.7,6.75
2021,Arsenal,Southampton,W,3,0,2,2,0,2,13,15,11,5,6,5,9,9,8,2,0,0,0,1.61,4.0,5.5,1.65,4.0,5.0,1.65,4.0,5.0
2021,Arsenal,West Ham,W,2,0,2,0,0,1,3,21,7,8,1,8,9,5,2,2,0,0,1,2.1,3.6,3.3,2.15,3.6,3.2,2.25,3.5,3.15
2020,Arsenal,Man United,W,2,0,2,2,0,2,5,10,10,4,4,11,15,1,4,2,0,0,0,2.55,3.6,2.62,2.6,3.6,2.6,2.55,3.6,2.6
2020,Arsenal,Sheffield United,D,1,1,1,1,0,2,22,11,12,4,4,9,13,4,5,1,2,0,0,1.83,3.6,4.33,1.8,3.7,4.5,1.83,3.6,4.4
2020,Arsenal,Newcastle,W,4,0,2,0,0,1,18,15,10,7,2,15,9,5,6,2,0,0,0,1.4,4.75,8.0,1.4,4.75,8.0,1.45,4.5,7.0
2020,Arsenal,Everton,W,3,2,2,2,2,1,34,9,17,4,5,12,12,6,3,0,4,0,0,2.0,3.6,3.7,2.0,3.6,3.7,2.05,3.6,3.55
2020,Arsenal,West Ham,W,1,0,2,0,0,1,20,9,14,2,6,11,9,6,7,1,2,0,0,1.57,4.4,5.5,1.53,4.33,6.0,1.57,4.3,5.4
2020,Arsenal,Norwich,W,4,0,2,2,0,2,28,13,8,8,2,10,10,6,2,1,4,0,0,1.44,4.75,7.0,1.45,4.75,6.5,1.45,4.65,6.9
2020,Arsenal,Leicester,D,1,1,1,1,0,2,5,11,13,7,5,10,14,10,1,1,0,1,0,2.3,3.5,3.0,2.3,3.4,3.1,2.35,3.4,3.0
2020,Arsenal,Liverpool,W,2,1,2,2,1,2,30,3,24,2,8,14,10,2,13,3,1,0,0,3.8,3.8,1.9,3.8,4.0,1.85,3.85,3.85,1.87
2020,Arsenal,Watford,W,3,2,2,3,1,2,22,13,19,5,6,9,12,4,8,3,3,0,0,1.9,3.8,3.8,1.91,3.75,3.8,1.95,3.85,3.7
2020,Arsenal,West Ham,W,2,1,2,1,1,1,24,7,14,3,3,11,13,7,5,0,1,0,0,1.53,4.5,5.5,1.53,4.33,6.0,1.55,4.2,5.75
2020,Arsenal,Sheffield United,W,2,1,2,0,0,1,18,6,6,5,2,3,9,2,4,0,1,0,0,1.57,4.0,6.0,1.55,4.1,6.25,1.6,3.8,6.0
2020,Arsenal,Leicester,L,0,1,0,0,0,1,6,12,6,4,2,13,9,9,3,3,5,0,0,1.9,3.75,3.8,1.91,3.8,3.8,1.95,3.5,3.85
2020,Arsenal,Aston Villa,L,0,3,0,0,1,0,20,13,15,2,6,11,13,3,8,0,0,0,0,1.65,4.1,5.0,1.7,4.0,4.75,1.73,3.75,4.7
2020,Arsenal,Wolves,L,1,2,0,1,2,0,24,13,11,2,5,13,13,8,4,3,4,0,0,2.05,3.4,3.75,2.05,3.4,3.8,2.1,3.25,3.6
2020,Arsenal,Burnley,L,0,1,0,0,0,1,10,18,10,6,2,5,11,13,4,2,1,1,0,1.53,4.2,6.25,1.55,4.1,6.25,1.55,3.95,6.5
2020,Arsenal,Southampton,D,1,1,1,0,1,0,30,9,13,4,3,13,13,2,7,1,3,1,0,2.25,3.5,3.1,2.2,3.5,3.2,2.25,3.25,3.15
2020,Arsenal,Chelsea,W,3,1,2,2,0,2,24,15,19,7,3,13,10,7,9,2,1,0,0,4.0,3.6,1.9,4.1,3.5,1.91,3.95,3.35,1.95
2019,Arsenal,Burnley,W,2,1,2,1,1,1,22,16,18,9,5,13,11,10,7,2,1,0,0,1.3,5.5,10.0,1.3,5.5,10.0,1.3,5.6,9.5
2019,Arsenal,Tottenham,D,2,2,1,1,2,0,20,26,13,8,9,13,19,11,6,3,5,0,0,2.37,3.6,2.8,2.4,3.6,2.8,2.35,3.6,2.85
2019,Arsenal,Aston Villa,W,3,2,2,0,1,0,14,21,14,6,9,13,15,9,4,5,1,1,0,1.4,4.75,8.0,1.4,5.0,7.25,1.4,4.8,7.5
2019,Arsenal,Bournemouth,W,1,0,2,1,0,2,20,12,10,2,2,12,6,14,5,1,2,0,0,1.44,4.75,7.0,1.42,5.0,6.75,1.46,5.0,6.0
2019,Arsenal,Crystal Palace,D,2,2,1,2,1,2,20,15,10,6,4,18,9,12,5,2,0,0,0,1.45,4.75,6.5,1.45,4.75,6.5,1.5,4.6,6.1
2019,Arsenal,Wolves,D,1,1,1,1,0,2,24,10,25,4,8,6,15,8,9,0,2,0,0,1.75,3.75,4.75,1.78,3.7,4.6,1.77,3.8,4.4
2019,Arsenal,Southampton,D,2,2,1,1,1,1,34,12,21,5,6,13,19,6,8,6,2,0,0,1.45,4.75,6.5,1.45,4.75,6.5,1.45,4.5,7.0
2019,Arsenal,Brighton,L,1,2,0,0,1,0,10,12,20,5,9,10,11,9,9,3,1,0,0,1.57,4.33,5.5,1.57,4.25,5.5,1.63,4.25,5.1
2019,Arsenal,Man City,L,0,3,0,0,3,0,30,6,14,1,7,9,24,3,3,1,4,0,0,6.0,5.25,1.44,6.25,5.5,1.42,6.0,5.2,1.45
2019,Arsenal,Chelsea,L,1,2,0,1,0,2,6,7,13,2,4,13,19,2,3,5,4,0,0,2.87,3.75,2.3,2.85,3.75,2.3,2.85,3.7,2.35
2019,Arsenal,Fulham,W,4,1,2,1,0,2,10,16,9,9,4,7,12,8,3,0,1,0,0,1.33,5.75,9.5,1.33,5.5,8.75,1.35,5.3,8.0
2019,Arsenal,Chelsea,W,2,0,2,2,0,2,3,13,13,5,1,13,15,5,6,0,2,0,0,3.1,3.6,2.37,3.0,3.5,2.3,2.95,3.6,2.3
2019,Arsenal,Cardiff,W,2,1,2,0,0,1,22,15,19,4,2,14,12,4,7,3,3,0,0,1.22,7.0,15.0,1.25,6.5,11.5,1.25,6.1,11.0
2019,Arsenal,Southampton,W,2,0,2,2,0,2,10,12,10,4,4,7,14,6,4,0,0,0,0,1.5,4.75,7.0,1.45,4.5,7.0,1.45,4.5,7.0
2019,Arsenal,Bournemouth,W,5,1,2,2,1,2,5,16,13,6,5,11,9,9,4,2,2,0,0,1.44,5.0,7.5,1.44,4.75,7.0,1.4,4.8,7.5
2019,Arsenal,Man United,W,2,0,2,1,0,2,14,14,14,3,4,12,18,5,2,2,2,0,0,2.4,3.6,3.0,2.35,3.5,2.95,2.35,3.55,2.9
2019,Arsenal,Newcastle,W,2,0,2,1,0,2,3,7,3,4,1,11,10,6,2,2,0,0,0,1.36,5.25,9.5,1.36,5.0,8.5,1.35,5.3,8.0
2019,Arsenal,Crystal Palace,L,2,3,0,0,1,0,14,12,16,5,7,15,12,8,3,4,1,0,0,1.53,4.6,6.5,1.53,4.5,5.75,1.45,4.4,7.2
2019,Arsenal,Brighton,D,1,1,1,1,0,2,3,20,11,8,5,9,14,16,3,5,2,0,0,1.4,5.0,9.0,1.36,4.75,9.25,1.43,4.5,7.7
2018,Arsenal,Man City,L,0,2,0,0,1,0,24,9,17,3,8,11,14,2,9,2,2,0,0,4.0,3.8,1.95,3.7,3.75,1.95,3.6,3.6,2.0
2018,Arsenal,West Ham,W,3,1,2,1,1,1,10,17,13,10,5,16,13,10,2,1,3,0,0,1.36,5.5,9.0,1.36,5.25,7.75,1.4,4.8,7.5
2018,Arsenal,Everton,W,2,0,2,0,0,1,14,9,9,5,6,17,12,5,9,2,1,0,0,1.44,5.0,7.5,1.48,4.6,6.5,1.45,4.5,7.0
2018,Arsenal,Watford,W,2,0,2,0,0,1,3,9,13,2,4,11,17,6,6,2,2,0,0,1.44,5.1,7.0,1.45,4.75,6.5,1.45,4.5,7.0
2018,Arsenal,Leicester,W,3,1,2,1,1,1,5,19,8,6,2,10,10,6,4,2,2,0,0,1.53,4.5,6.5,1.5,4.33,6.5,1.53,4.5,5.6
2018,Arsenal,Liverpool,D,1,1,1,0,0,1,1,12,13,4,4,7,7,5,8,1,1,0,0,3.9,3.9,1.95,3.5,3.75,2.0,3.2,3.5,2.2
2018,Arsenal,Wolves,D,1,1,1,0,1,0,34,10,12,3,5,9,16,11,2,2,2,0,0,1.66,4.2,5.25,1.6,4.1,5.5,1.55,4.0,6.2
2018,Arsenal,Tottenham,W,4,2,2,1,2,0,22,22,11,7,6,15,17,8,5,3,3,0,1,2.62,3.6,2.75,2.5,3.6,2.7,2.65,3.4,2.65
2018,Arsenal,Huddersfield,W,1,0,2,0,0,1,30,14,6,2,0,13,20,7,1,5,4,0,0,1.28,6.0,12.0,1.28,5.75,10.5,1.27,6.0,10.0
2018,Arsenal,Burnley,W,3,1,2,1,0,2,16,10,7,6,2,10,14,1,3,2,5,0,0,1.25,6.5,15.0,1.22,6.25,13.5,1.25,6.1,11.0
2018,Arsenal,Chelsea,D,2,2,1,0,0,1,3,14,19,6,6,11,11,10,8,3,2,0,0,2.6,3.39,2.6,2.7,3.4,2.6,2.6,3.3,2.75
2018,Arsenal,Crystal Palace,W,4,1,2,4,0,2,5,16,9,10,5,6,8,5,10,0,0,0,0,1.5,4.75,7.0,1.5,4.4,6.25,1.5,4.2,6.5
2018,Arsenal,Everton,W,5,1,2,4,0,2,26,15,11,7,2,8,8,4,6,2,0,0,0,1.3,5.75,12.0,1.3,5.25,10.5,1.35,5.3,8.0
2018,Arsenal,Man City,L,0,3,0,0,3,0,1,10,9,5,5,11,11,6,1,1,1,0,0,4.5,4.0,1.72,4.4,3.8,1.78,4.2,3.9,1.8
2018,Arsenal,Watford,W,3,0,2,1,0,2,20,11,11,7,4,12,9,4,9,2,1,0,0,1.44,5.0,7.5,1.5,4.4,6.25,1.5,4.2,6.5
2018,Arsenal,Stoke,W,3,0,2,0,0,1,6,24,8,11,2,9,13,6,5,1,2,0,0,1.28,5.5,10.0,1.3,5.5,9.75,1.35,5.3,8.0
2018,Arsenal,Southampton,W,3,2,2,2,1,2,1,13,15,7,8,11,7,8,6,2,1,1,1,1.57,4.5,6.0,1.53,4.4,6.0,1.55,4.0,6.2
2018,Arsenal,West Ham,W,4,1,2,0,0,1,18,20,11,8,4,11,9,8,6,3,2,0,0,1.55,4.59,6.0,1.53,4.5,5.75,1.6,4.0,5.5
2018,Arsenal,Burnley,W,5,0,2,2,0,2,1,16,6,8,2,6,7,4,5,0,1,0,0,1.57,4.2,6.5,1.53,4.2,6.25,1.5,4.2,6.5
2017,Arsenal,Leicester,W,4,3,2,2,2,1,22,27,6,10,3,9,12,9,4,0,1,0,0,1.53,4.5,6.5,1.5,4.6,6.75,1.47,4.5,6.5
2017,Arsenal,Bournemouth,W,3,0,2,2,0,2,3,17,7,9,2,14,10,10,3,0,1,0,0,1.36,5.5,9.0,1.36,5.25,8.0,1.33,5.5,8.5
2017,Arsenal,West Brom,W,2,0,2,1,0,2,33,16,7,6,3,8,17,7,4,1,4,0,0,1.33,5.5,11.0,1.34,5.25,8.75,1.33,5.3,8.7
2017,Arsenal,Brighton,W,2,0,2,1,0,2,16,25,9,12,1,7,8,6,5,0,2,0,0,1.2,6.5,13.0,1.22,6.0,12.0,1.25,6.5,10.0
2017,Arsenal,Swansea,W,2,1,2,0,1,0,18,17,4,5,2,9,9,5,2,0,0,0,0,1.25,7.0,12.0,1.25,6.5,10.5,1.25,6.0,11.0
2017,Arsenal,Tottenham,W,2,0,2,2,0,2,22,14,14,5,4,11,16,7,4,4,1,0,0,2.5,3.6,2.89,2.45,3.4,2.85,2.5,3.5,2.7
2017,Arsenal,Huddersfield,W,5,0,2,1,0,2,10,21,7,7,2,10,12,7,2,0,1,0,0,1.19,7.5,17.0,1.18,7.0,17.0,1.2,6.5,15.0
2017,Arsenal,Man United,L,1,3,0,0,2,0,1,33,8,15,4,11,10,12,1,3,2,0,1,2.5,3.39,3.0,2.45,3.25,3.0,2.5,3.2,2.95
2017,Arsenal,Newcastle,W,1,0,2,1,0,2,34,23,10,5,2,13,9,7,5,2,1,0,0,1.25,6.5,14.0,1.26,5.75,12.0,1.25,6.0,11.0
2017,Arsenal,Liverpool,D,3,3,1,0,1,0,20,11,14,4,9,9,11,7,8,1,0,0,0,2.54,3.6,2.79,2.4,3.6,2.8,2.4,3.3,2.95
2017,Arsenal,Crystal Palace,W,2,0,2,1,0,2,1,22,7,7,4,9,7,8,4,1,1,0,0,1.29,5.5,9.5,1.3,5.5,9.75,1.3,5.5,9.5
2017,Arsenal,Burnley,W,2,1,2,0,0,1,14,24,13,8,7,12,11,10,4,1,3,1,0,1.2,7.5,17.0,1.18,7.5,14.5,1.22,6.2,13.5
2017,Arsenal,Watford,L,1,2,0,0,2,0,1,20,10,5,6,12,15,9,5,3,3,0,0,1.22,7.0,15.0,1.22,6.5,13.0,1.22,6.5,12.5
2017,Arsenal,Hull,W,2,0,2,1,0,2,21,17,9,7,4,12,9,3,8,3,1,0,1,1.29,6.0,13.0,1.26,5.75,11.5,1.3,5.5,9.5
2017,Arsenal,Man City,D,2,2,1,1,2,0,1,8,14,3,5,8,15,3,8,3,2,0,0,3.1,3.75,2.3,3.25,3.5,2.2,2.85,3.5,2.4
2017,Arsenal,West Ham,W,3,0,2,0,0,1,20,21,7,8,2,11,5,5,0,2,2,0,0,1.4,5.25,8.0,1.36,5.25,8.0,1.4,4.8,7.5
2017,Arsenal,Leicester,W,1,0,2,0,0,1,23,12,7,5,3,9,13,12,1,2,4,0,0,1.6,4.5,5.75,1.57,4.33,5.5,1.6,4.2,5.2
2017,Arsenal,Man United,W,2,0,2,0,0,1,1,9,10,4,4,14,10,5,9,1,0,0,0,1.91,3.7,4.33,1.85,3.7,4.25,2.1,3.4,3.5
2017,Arsenal,Sunderland,W,2,0,2,0,0,1,31,36,6,13,2,15,10,17,3,4,2,0,0,1.09,13.0,29.0,1.09,11.0,23.0,1.12,9.0,20.0
2017,Arsenal,Everton,W,3,1,2,2,0,2,24,17,22,9,7,10,15,4,6,2,4,1,0,1.45,5.0,7.5,1.42,4.6,7.5,1.45,4.5,7.0
2016,Arsenal,Liverpool,L,3,4,0,1,1,1,24,9,16,5,7,13,17,5,4,3,3,0,0,2.4,3.5,3.1,2.35,3.3,2.9,2.3,3.3,2.9
2016,Arsenal,Southampton,W,2,1,2,1,1,1,33,17,11,2,5,10,8,6,1,2,5,0,0,1.57,4.2,6.5,1.55,4.2,6.0,1.55,3.9,5.6
2016,Arsenal,Chelsea,W,3,0,2,3,0,2,24,14,9,5,2,9,11,9,1,0,2,0,0,2.4,3.5,3.1,2.4,3.4,3.1,2.35,3.3,3.05
2016,Arsenal,Swansea,W,3,2,2,2,1,2,14,16,13,6,6,7,10,5,6,0,1,1,0,1.29,6.5,11.0,1.26,6.25,10.0,1.25,6.0,11.0
2016,Arsenal,Middlesbrough,D,0,0,1,0,0,1,22,9,11,5,4,6,13,8,3,1,0,0,0,1.25,6.5,15.0,1.25,6.0,12.0,1.25,6.0,11.0
2016,Arsenal,Tottenham,D,1,1,1,1,0,2,21,15,10,2,3,11,17,7,2,1,2,0,0,1.95,3.6,4.2,1.95,3.6,3.9,2.0,3.4,3.8
2016,Arsenal,Bournemouth,W,3,1,2,1,1,1,23,16,9,3,3,12,13,3,10,3,5,0,0,1.4,5.0,9.0,1.42,4.75,7.5,1.35,5.3,8.0
2016,Arsenal,Stoke,W,3,1,2,1,1,1,18,21,12,6,5,9,6,7,7,0,0,0,0,1.35,5.5,9.5,1.35,5.0,9.0,1.4,4.8,7.5
2016,Arsenal,West Brom,W,1,0,2,0,0,1,26,26,3,11,1,11,7,6,5,2,1,0,0,1.33,5.5,8.5,1.3,5.0,10.0,1.33,5.3,8.7
2016,Arsenal,Newcastle,W,1,0,2,0,0,1,3,16,15,3,6,10,9,7,4,2,2,0,0,1.29,6.5,11.0,1.28,5.5,11.0,1.3,5.0,9.0
2016,Arsenal,Chelsea,L,0,1,0,0,1,0,21,9,12,1,6,14,13,6,7,1,3,1,0,2.1,3.5,3.9,2.05,3.3,4.0,2.2,3.25,3.3
2016,Arsenal,Southampton,D,0,0,1,0,0,1,18,21,14,11,3,11,19,13,3,2,1,0,0,1.75,3.75,5.25,1.8,3.5,4.75,1.75,3.5,4.5
2016,Arsenal,Leicester,W,2,1,2,0,1,0,20,24,7,6,3,9,10,11,1,4,3,0,1,1.75,4.0,5.0,1.75,4.0,4.33,1.8,3.5,4.2
2016,Arsenal,Swansea,L,1,2,0,1,1,1,33,18,11,4,2,8,11,7,3,0,2,0,0,1.36,5.25,10.0,1.36,4.6,8.25,1.35,4.8,7.6
2016,Arsenal,Watford,W,4,0,2,2,0,2,3,19,6,12,2,7,10,8,3,1,1,0,0,1.36,5.25,10.0,1.33,4.75,9.5,1.33,4.8,8.3
2016,Arsenal,Crystal Palace,D,1,1,1,1,0,2,31,21,7,6,2,7,13,10,5,0,2,0,0,1.33,5.75,9.5,1.33,5.0,8.75,1.3,5.0,9.0
2016,Arsenal,West Brom,W,2,0,2,2,0,2,14,16,8,7,1,14,14,2,6,0,1,0,0,1.29,6.0,13.0,1.22,5.75,13.5,1.25,5.5,10.3
2016,Arsenal,Norwich,W,1,0,2,0,0,1,23,14,12,3,3,8,7,7,3,1,0,0,0,1.29,6.5,11.0,1.25,6.0,12.5,1.22,5.5,12.0
2016,Arsenal,Aston Villa,W,4,0,2,1,0,2,21,16,5,7,2,12,6,5,4,0,1,0,0,1.17,9.0,17.0,1.16,7.0,16.0,1.17,6.5,14.0
2015,Arsenal,West Ham,L,0,2,0,0,1,0,20,22,8,6,4,12,9,5,4,1,3,0,0,1.29,6.0,12.0,1.28,5.75,10.5,1.33,4.8,8.3
2015,Arsenal,Liverpool,D,0,0,1,0,0,1,24,19,15,5,8,2,13,7,8,1,4,0,0,1.75,4.0,5.0,1.75,3.75,5.0,1.8,3.5,4.2
2015,Arsenal,Stoke,W,2,0,2,1,0,2,14,29,9,12,4,6,13,13,1,1,1,0,0,1.29,6.0,12.0,1.3,5.5,9.75,1.3,5.0,9.0
2015,Arsenal,Man United,W,3,0,2,3,0,2,3,12,9,5,5,8,17,3,6,1,3,0,0,2.0,3.8,3.8,2.0,3.5,3.75,2.1,3.3,3.3
2015,Arsenal,Everton,W,2,1,2,2,1,2,18,20,10,5,5,11,14,7,5,2,0,0,1,1.44,4.75,8.0,1.44,4.6,7.25,1.45,4.0,7.0
2015,Arsenal,Tottenham,D,1,1,1,0,1,0,20,10,14,4,4,12,17,7,6,0,1,0,0,1.73,4.0,5.0,1.72,3.8,4.4,1.6,3.9,5.0
2015,Arsenal,Sunderland,W,3,1,2,1,1,1,33,16,11,7,4,7,11,3,2,1,1,0,0,1.29,6.0,13.0,1.26,6.25,10.5,1.22,5.5,12.0
2015,Arsenal,Man City,W,2,1,2,2,0,2,1,8,20,5,6,5,16,4,8,0,2,0,0,2.45,3.5,3.0,2.45,3.4,3.0,2.5,3.3,2.65
2015,Arsenal,Bournemouth,W,2,0,2,1,0,2,31,13,10,6,3,7,8,9,3,2,0,0,0,1.44,4.75,8.0,1.44,4.5,8.0,1.42,4.3,7.0
2015,Arsenal,Stoke,W,3,0,2,2,0,2,14,14,7,6,2,11,11,9,1,0,3,0,0,1.44,4.75,8.0,1.48,4.5,7.5,1.45,4.0,7.0
